Document_ID,Document_Name,Document_Type,Category,Sub_Category,Source,Source_URL,File_Path,File_Size_MB,Page_Count,Date_Published,Date_Acquired,Date_Processed,Processing_Status,Language,Contains_Tables,Contains_Images,Confidentiality,Retention_Period,Owner,Quality_Score,Notes
CAND_0B2915BCAF,CAND_0B2915BCAF_gov-kemp-hyundai-motor-group-and-sk-build-ev-battery-facility-bartow.html,HTML,Supply Chain Evidence,Facilities and Capacity,gov.georgia.gov,https://gov.georgia.gov/press-releases/2022-12-08/gov-kemp-hyundai-motor-group-and-sk-build-ev-battery-facility-bartow,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_0B2915BCAF_gov-kemp-hyundai-motor-group-and-sk-build-ev-battery-facility-bartow.html,0.11,,2021,2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,84.86,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=86.98 Hybrid=81.32"
CAND_949B09990C,Georgia_Electric_Vehicle_Manufacturing,Unknown,Policy and Localization,Incentives and Localization,georgia.org,https://georgia.org/EV,,,,2024,,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,81.88,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=75.33 Hybrid=82.35"
CAND_07D3A45DF1,Georgia_Business_Assets_a_Powerful_Magnet_for_Electric_...,Unknown,Supply Chain Evidence,Facilities and Capacity,georgia.org,https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,,,,2018,,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,81.52,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=75.33 Hybrid=81.09"
CAND_74D732B96B,CAND_74D732B96B_Georgia's_Battery-Powered_Future.html,HTML,Supply Chain Evidence,Supplier and Tiering,www.georgiatrend.com,https://www.georgiatrend.com/2024/04/30/georgias-battery-powered-future,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_74D732B96B_Georgia's_Battery-Powered_Future.html,0.16,,2024-04-30T15:00:50+00:00,2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,81.05,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=69.86 Hybrid=85.8"
CAND_85D8AF04E6,CAND_85D8AF04E6_Issue-Brief-EV-Jobs-in-Georgia.pdf,PDF,Policy and Localization,Incentives and Localization,atlaspolicy.com,https://atlaspolicy.com/wp-content/uploads/2024/05/Issue-Brief-EV-Jobs-in-Georgia.pdf,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_85D8AF04E6_Issue-Brief-EV-Jobs-in-Georgia.pdf,0.53,12,D:20240508124437-04'00',2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,79.98,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=71.36 Hybrid=79.96"
CAND_345B052C41,CAND_345B052C41_GA_State_of_E-Mobility_2025.html,HTML,Supply Chain Evidence,Supplier and Tiering,emobility.uga.edu,https://emobility.uga.edu/publications/whitepapers/georgia-state-of-e-mobility-2025-driving-innovation-forward,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_345B052C41_GA_State_of_E-Mobility_2025.html,0.06,,2026-02-18T16:26:08+00:00,2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,76.39,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=82.84 Hybrid=67.18"
CAND_155E6FE149,CAND_155E6FE149_Georgia-Battery-Ecosystem.pdf,PDF,Policy and Localization,Incentives and Localization,case-usa.eu,https://case-usa.eu/wp-content/uploads/2021/12/Georgia-Battery-Ecosystem.pdf,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_155E6FE149_Georgia-Battery-Ecosystem.pdf,1.78,2,D:20240222144536-05'00',2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,75.32,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=70.56 Hybrid=71.88"
CAND_C5A03B76C6,CAND_C5A03B76C6_Rivian's_Strategic_Momentum_Supply_Chain_Resilience_...html,HTML,Policy and Localization,Incentives and Localization,www.ainvest.com,https://www.ainvest.com/news/rivian-strategic-momentum-supply-chain-resilience-production-scalability-post-georgia-factory-groundbreaking-2509,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_C5A03B76C6_Rivian's_Strategic_Momentum_Supply_Chain_Resilience_...html,0.16,,"Sep 20, 2025",2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,74.16,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=63.06 Hybrid=74.94"
CAND_B80DBE9B47,CAND_B80DBE9B47_C2ES-GA-Takeaways-FINAL2.pdf,PDF,Supply Chain Evidence,Supplier and Tiering,www.c2es.org,https://www.c2es.org/wp-content/uploads/2025/12/C2ES-GA-Takeaways-FINAL2.pdf,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\keep\CAND_B80DBE9B47_C2ES-GA-Takeaways-FINAL2.pdf,0.23,8,D:20251205191928Z,2026-03-24,2026-03-24,Curated-Keep,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,71.76,"Passed heuristic, hybrid, direct-usecase, LLM judge, and credibility thresholds. Credibility=66.61 Hybrid=65.56"
CAND_EE78000BC6,CAND_EE78000BC6_gtri-works-enhance-ev-battery-reuse-and-recycling-georgia_2.html,HTML,Supply Chain Evidence,Facilities and Capacity,www.gatech.edu,https://www.gatech.edu/news/2023/06/07/gtri-works-enhance-ev-battery-reuse-and-recycling-georgia,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_EE78000BC6_gtri-works-enhance-ev-battery-reuse-and-recycling-georgia_2.html,0.1,,"Jun 07, 2023",2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,76.8,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=77.86 Hybrid=81.97
CAND_0E9EAD9229,CAND_0E9EAD9229_8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf,PDF,Supply Chain Evidence,Facilities and Capacity,home.treasury.gov,https://home.treasury.gov/system/files/136/8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_0E9EAD9229_8-16-23-Deputy-Secretary-of-the-Treasury-Inflation-Reduction-Act-One-Year-Anniversary-Interested-Parties-Memo.pdf,0.67,76,D:20230816120131-04'00',2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,76.24,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=77.16 Hybrid=82.97
CAND_CB15AC95BD,CAND_CB15AC95BD_supply_chain_for_ev_batteries_2020_trade_and_value-added_010721-compliant.pdf,PDF,Supply Chain Evidence,Supplier and Tiering,www.usitc.gov,https://www.usitc.gov/publications/332/working_papers/supply_chain_for_ev_batteries_2020_trade_and_value-added_010721-compliant.pdf,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_CB15AC95BD_supply_chain_for_ev_batteries_2020_trade_and_value-added_010721-compliant.pdf,0.89,28,D:20210107141258-05'00',2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,75.63,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=89.3 Hybrid=69.41
CAND_2BA710409B,CAND_2BA710409B_Georgia_is_plugged_in_to_electric_transportation.html,HTML,Supply Chain Evidence,Facilities and Capacity,www.selectgeorgia.com,https://www.selectgeorgia.com/blog/electric-transportation,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_2BA710409B_Georgia_is_plugged_in_to_electric_transportation.html,0.11,,2021-06-11T10:05:23.725791-04:00,2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,71.35,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=62.37 Hybrid=80.15
CAND_00A85DC1F1,CAND_00A85DC1F1_Rivian's_Georgia_Plant_and_Its_Strategic_Implications_for_EV_Supply_Chain_Resilience.html,HTML,Policy and Localization,Incentives and Localization,www.ainvest.com,https://www.ainvest.com/news/rivian-georgia-plant-strategic-implications-ev-supply-chain-resilience-2509,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_00A85DC1F1_Rivian's_Georgia_Plant_and_Its_Strategic_Implications_for_EV_Supply_Chain_Resilience.html,0.16,,"Sep 19, 2025",2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,69.67,"Passed shortlist and LLM thresholds, but credibility remains below the keep threshold. Credibility=57.04 Hybrid=69.2"
CAND_6097921257,[PDF]_State_Brief_Georgia_-_Center_for_the_New_Energy_Economy,PDF,Policy and Localization,Incentives and Localization,cnee.colostate.edu,https://cnee.colostate.edu/wp-content/uploads/2024/07/State-Brief_GA_July_2024_FINAL.pdf,,,,2024,,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,66.87,Useful adjacent background with enough evidence to keep in human review. Credibility=77.84 Hybrid=63.95
CAND_F37A9978E1,CAND_F37A9978E1_Georgia_Manufacturing_Charges_Regional_Battery_Industry_Growth.html,HTML,Supply Chain Evidence,Facilities and Capacity,www.c2es.org,https://www.c2es.org/2025/11/georgia-manufacturing-growth-charges-regional-battery-industry-development,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_F37A9978E1_Georgia_Manufacturing_Charges_Regional_Battery_Industry_Growth.html,0.12,,2025-11-18T21:12:45+00:00,2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,61.52,Borderline direct-usecase evidence; worth manual review before discard. Credibility=69.56 Hybrid=63.26
CAND_D8E27525FD,CAND_D8E27525FD_215849.html,HTML,Policy and Localization,Incentives and Localization,www.automotivelogistics.media,https://www.automotivelogistics.media/ev-and-battery/hyundai-supported-by-suppliers-in-race-to-localise-ev-production-in-us/215849,C:\Users\sande\OneDrive\Pictures\Tavily_ev-automation-main\outputs\pipeline_runs\live_20q_fasttest_20260324\final_docs\review\CAND_D8E27525FD_215849.html,0.13,,2023-10-30T10:41:00.000Z,2026-03-24,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,61.09,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=41.67 Hybrid=77.04
CAND_7AF43E183A,Georgia_Logistics_Network_Speeding_Goods_to_Market,Unknown,Infrastructure and Risk,Logistics and Risk,georgia.org,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,,,,,,2026-03-24,Curated-Review,Unknown,Unknown,Unknown,Public,TBD,GNEM Research Pipeline,60.18,Passed shortlist thresholds but missed one or more LLM judge thresholds. Credibility=46.22 Hybrid=71.47
